code_PAM250_GO_-10_GE_-1,sp_HENIKOFF_with_gaps_PAM250_GO_-10_GE_-1,sp_HENIKOFF_without_gaps_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-10_GE_-1
'bali_phy_msa.389.fas', -13.045, -9.869, -15.173, -16.532
'bali_phy_msa.39.fas', -11.692, -7.743, -13.219, -16.196
'bali_phy_msa.390.fas', -9.622, -5.672, -12.054, -13.604
'bali_phy_msa.391.fas', -10.215, -6.433, -13.126, -14.178
'bali_phy_msa.392.fas', -9.327, -5.05, -11.141, -12.024
'bali_phy_msa.393.fas', -10.612, -6.816, -11.715, -15.571
'bali_phy_msa.394.fas', -9.163, -5.154, -11.054, -12.849
'bali_phy_msa.395.fas', -8.349, -4.22, -10.701, -13.318
'bali_phy_msa.396.fas', -8.876, -4.54, -12.256, -11.892
'bali_phy_msa.397.fas', -19.021, -16.683, -20.326, -23.347
'bali_phy_msa.398.fas', -12.332, -8.653, -13.336, -17.019
'bali_phy_msa.399.fas', -10.374, -6.52, -12.921, -14.353
'bali_phy_msa.4.fas', -9.066, -4.983, -9.58, -12.702
'bali_phy_msa.40.fas', -10.729, -7.208, -13.692, -14.924
'bali_phy_msa.400.fas', -8.491, -4.234, -12.436, -12.8
'bali_phy_msa.41.fas', -9.403, -5.343, -9.422, -12.953
'bali_phy_msa.42.fas', -11.867, -8.115, -15.048, -15.093
'bali_phy_msa.43.fas', -9.419, -5.035, -10.345, -13.633
'bali_phy_msa.44.fas', -10.941, -7.192, -12.267, -15.52
'bali_phy_msa.45.fas', -8.239, -3.825, -11.629, -12.179
'bali_phy_msa.46.fas', -9.58, -5.344, -10.103, -14.098
'bali_phy_msa.47.fas', -9.775, -5.756, -10.11, -13.539
'bali_phy_msa.48.fas', -10.766, -7.27, -11.523, -16.289
'bali_phy_msa.49.fas', -9.67, -5.605, -10.885, -14.117
'bali_phy_msa.5.fas', -10.247, -6.29, -11.9, -14.909
'bali_phy_msa.50.fas', -10.263, -6.525, -12.438, -14.914
'bali_phy_msa.51.fas', -10.08, -5.893, -10.748, -13.726
'bali_phy_msa.52.fas', -9.822, -6.025, -12.068, -12.953
'bali_phy_msa.53.fas', -11.755, -8.14, -14.448, -16.359
'bali_phy_msa.54.fas', -10.445, -6.527, -14.016, -14.813
'bali_phy_msa.55.fas', -9.458, -5.423, -11.526, -14.307
'bali_phy_msa.56.fas', -7.821, -3.487, -10.305, -10.843
'bali_phy_msa.57.fas', -10.082, -5.983, -11.514, -14.414
'bali_phy_msa.58.fas', -8.116, -3.79, -8.34, -13.071
'bali_phy_msa.59.fas', -10.356, -6.98, -9.888, -15.614
'bali_phy_msa.6.fas', -9.825, -5.81, -10.513, -13.788
'bali_phy_msa.60.fas', -7.483, -3.003, -10.859, -11.771
'bali_phy_msa.61.fas', -9.121, -5.061, -9.314, -12.681
'bali_phy_msa.62.fas', -10.689, -6.693, -8.538, -15.316
'bali_phy_msa.63.fas', -10.131, -5.806, -8.201, -16.093
'bali_phy_msa.64.fas', -10.956, -7.51, -13.52, -15.293
'bali_phy_msa.65.fas', -9.815, -5.921, -13.322, -14.689
'bali_phy_msa.66.fas', -10.618, -7.144, -11.079, -15.514
'bali_phy_msa.67.fas', -9.901, -5.895, -10.501, -13.502
