code_BLOSUM62_GO_-6_GE_-0.2,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-6_GE_-0.2,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-6_GE_-0.2
'bali_phy_msa.324.fas', 151.601, 146.321, 1661.908, 1385.291
'bali_phy_msa.325.fas', 149.976, 143.904, 1441.868, 1296.042
'bali_phy_msa.326.fas', 151.787, 145.783, 1544.079, 1294.359
'bali_phy_msa.327.fas', 151.396, 145.399, 1645.36, 1288.793
'bali_phy_msa.328.fas', 151.711, 146.001, 1502.396, 1331.541
'bali_phy_msa.329.fas', 150.649, 145.119, 1617.462, 1297.253
'bali_phy_msa.33.fas', 149.301, 143.133, 1460.862, 1292.616
'bali_phy_msa.330.fas', 152.127, 146.656, 1659.94, 1362.314
'bali_phy_msa.331.fas', 152.564, 146.993, 1576.23, 1340.069
'bali_phy_msa.332.fas', 149.33, 143.31, 1570.495, 1299.291
'bali_phy_msa.333.fas', 152.375, 146.897, 1464.281, 1356.913
'bali_phy_msa.334.fas', 150.953, 145.545, 1588.963, 1348.918
'bali_phy_msa.335.fas', 152.384, 147.022, 1601.843, 1366.385
'bali_phy_msa.336.fas', 151.809, 146.19, 1575.416, 1324.689
'bali_phy_msa.337.fas', 150.373, 144.776, 1590.067, 1346.546
'bali_phy_msa.338.fas', 152.214, 147.006, 1628.249, 1364.31
'bali_phy_msa.339.fas', 152.064, 146.573, 1570.337, 1342.817
'bali_phy_msa.34.fas', 151.098, 145.091, 1529.413, 1307.561
'bali_phy_msa.340.fas', 150.812, 144.835, 1508.098, 1271.65
'bali_phy_msa.341.fas', 150.841, 144.67, 1467.673, 1283.902
'bali_phy_msa.342.fas', 151.489, 145.785, 1551.252, 1306.148
'bali_phy_msa.343.fas', 151.71, 145.996, 1597.879, 1331.884
'bali_phy_msa.344.fas', 151.266, 145.398, 1531.839, 1326.844
'bali_phy_msa.345.fas', 151.313, 145.861, 1396.379, 1359.951
'bali_phy_msa.346.fas', 150.178, 144.246, 1672.289, 1324.2
'bali_phy_msa.347.fas', 151.149, 145.331, 1453.72, 1320.451
'bali_phy_msa.348.fas', 150.933, 145.358, 1687.608, 1354.616
'bali_phy_msa.349.fas', 150.788, 144.8, 1487.612, 1307.33
'bali_phy_msa.35.fas', 152.162, 146.847, 1563.302, 1376.586
'bali_phy_msa.350.fas', 152.336, 146.857, 1553.965, 1349.825
'bali_phy_msa.351.fas', 151.301, 145.638, 1558.144, 1314.076
'bali_phy_msa.352.fas', 150.681, 144.946, 1610.853, 1311.826
