code_BLOSUM62_GO_-10_GE_-1,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-10_GE_-1,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-10_GE_-1
'bali_phy_msa.390.fas', 92.219, 81.307, 842.6, 736.209
'bali_phy_msa.391.fas', 92.652, 82.533, 947.73, 742.639
'bali_phy_msa.392.fas', 92.289, 81.136, 923.556, 732.29
'bali_phy_msa.393.fas', 94.563, 84.762, 975.661, 766.301
'bali_phy_msa.394.fas', 92.426, 81.645, 906.175, 731.495
'bali_phy_msa.395.fas', 92.764, 82.137, 904.8, 755.646
'bali_phy_msa.396.fas', 92.756, 82.34, 868.949, 732.235
'bali_phy_msa.397.fas', 93.52, 82.652, 918.692, 746.677
'bali_phy_msa.398.fas', 93.423, 82.925, 916.621, 750.814
'bali_phy_msa.399.fas', 94.444, 83.862, 920.464, 767.777
'bali_phy_msa.4.fas', 94.784, 84.274, 944.066, 762.883
'bali_phy_msa.40.fas', 90.355, 78.778, 833.756, 694.947
'bali_phy_msa.400.fas', 94.023, 83.696, 898.885, 747.958
'bali_phy_msa.41.fas', 92.312, 81.526, 972.68, 730.983
'bali_phy_msa.42.fas', 91.779, 81.0, 887.211, 728.095
'bali_phy_msa.43.fas', 90.809, 80.075, 891.488, 722.354
'bali_phy_msa.44.fas', 93.152, 82.627, 947.826, 748.788
'bali_phy_msa.45.fas', 94.936, 84.419, 911.73, 767.509
'bali_phy_msa.46.fas', 88.575, 77.188, 884.268, 686.701
'bali_phy_msa.47.fas', 93.651, 82.779, 924.901, 754.737
'bali_phy_msa.48.fas', 91.592, 80.718, 872.135, 728.375
'bali_phy_msa.49.fas', 93.987, 83.991, 1054.771, 761.04
'bali_phy_msa.5.fas', 92.508, 81.591, 839.614, 716.112
'bali_phy_msa.50.fas', 91.159, 80.31, 930.838, 725.819
'bali_phy_msa.51.fas', 92.991, 82.538, 939.405, 748.297
'bali_phy_msa.52.fas', 92.394, 82.025, 836.12, 736.625
'bali_phy_msa.53.fas', 89.275, 77.798, 753.213, 689.366
'bali_phy_msa.54.fas', 92.539, 81.442, 835.993, 711.262
'bali_phy_msa.55.fas', 91.61, 80.743, 961.3, 714.047
'bali_phy_msa.56.fas', 91.772, 80.891, 826.823, 730.548
'bali_phy_msa.57.fas', 93.164, 82.692, 946.704, 742.85
'bali_phy_msa.58.fas', 91.974, 80.944, 879.598, 723.952
'bali_phy_msa.59.fas', 91.673, 81.103, 948.306, 737.288
'bali_phy_msa.6.fas', 93.899, 83.55, 912.794, 752.578
'bali_phy_msa.60.fas', 91.837, 80.952, 895.373, 728.058
'bali_phy_msa.61.fas', 91.78, 81.181, 904.743, 726.012
'bali_phy_msa.62.fas', 94.29, 83.843, 987.801, 763.709
'bali_phy_msa.63.fas', 92.832, 81.784, 809.93, 724.259
'bali_phy_msa.64.fas', 90.517, 79.544, 815.27, 727.037
