code_BLOSUM62_GO_-10_GE_-0.2,sp_match_count,sp_match_count_norm,sp_mismatch_count,sp_mismatch_count_norm,sp_go,sp_go_norm,sp_ge,sp_ge_norm,sp_match_BLOSUM62,sp_match_norm_BLOSUM62,sp_mismatch_BLOSUM62,sp_mismatch_norm_BLOSUM62,sp_BLOSUM62_GO_-10_GE_-0.2,sp_norm_BLOSUM62_GO_-10_GE_-0.2
'MUSCLE_diversified_replicate.abc.393.afa', 32328.0, 0.065, 29982, 0.06, 5016, 0.01, 97301, 0.194, 175766.0, 0.351, -18663, -0.037, 87482.8, 0.175
'MUSCLE_diversified_replicate.abc.397.afa', 32396.0, 0.064, 30031, 0.059, 4949, 0.01, 97067, 0.192, 176250.0, 0.348, -18597, -0.037, 88749.6, 0.175
'MUSCLE_diversified_replicate.abc.41.afa', 31663.0, 0.061, 32937, 0.064, 4977, 0.01, 92721, 0.18, 172025.0, 0.334, -22666, -0.044, 81044.8, 0.157
'MUSCLE_diversified_replicate.abc.45.afa', 33033.0, 0.065, 29010, 0.057, 4937, 0.01, 97835, 0.192, 179269.0, 0.352, -16965, -0.033, 93367.0, 0.183
'MUSCLE_diversified_replicate.abc.49.afa', 32461.0, 0.063, 30186, 0.059, 4945, 0.01, 96627, 0.189, 176397.0, 0.344, -18229, -0.036, 89392.6, 0.175
'MUSCLE_diversified_replicate.abc.5.afa', 32360.0, 0.064, 30618, 0.06, 5080, 0.01, 95965, 0.189, 176110.0, 0.347, -19148, -0.038, 86969.0, 0.171
'MUSCLE_diversified_replicate.abc.53.afa', 31319.0, 0.06, 32501, 0.062, 4896, 0.009, 94281, 0.179, 169925.0, 0.323, -22199, -0.042, 79909.8, 0.152
'MUSCLE_diversified_replicate.abc.57.afa', 32128.0, 0.062, 32275, 0.062, 4826, 0.009, 93115, 0.179, 174641.0, 0.335, -21314, -0.041, 86444.0, 0.166
'MUSCLE_diversified_replicate.abc.61.afa', 33260.0, 0.065, 28394, 0.055, 4837, 0.009, 98613, 0.192, 180688.0, 0.352, -16353, -0.032, 96242.4, 0.188
'MUSCLE_diversified_replicate.abc.65.afa', 32428.0, 0.062, 30602, 0.059, 5144, 0.01, 95861, 0.183, 176242.0, 0.337, -19027, -0.036, 86602.8, 0.166
'MUSCLE_diversified_replicate.abc.69.afa', 30769.0, 0.058, 32811, 0.062, 5131, 0.01, 94761, 0.178, 167104.0, 0.314, -22366, -0.042, 74475.8, 0.14
'MUSCLE_diversified_replicate.abc.73.afa', 31717.0, 0.06, 33189, 0.063, 4898, 0.009, 92109, 0.175, 172412.0, 0.328, -22991, -0.044, 82019.2, 0.156
'MUSCLE_diversified_replicate.abc.77.afa', 31982.0, 0.061, 31204, 0.06, 4788, 0.009, 95549, 0.182, 173938.0, 0.332, -20088, -0.038, 86860.2, 0.166
'MUSCLE_diversified_replicate.abc.81.afa', 32605.0, 0.064, 30363, 0.059, 5172, 0.01, 95985, 0.188, 177401.0, 0.347, -18397, -0.036, 88087.0, 0.172
'MUSCLE_diversified_replicate.abc.85.afa', 32381.0, 0.061, 30869, 0.058, 4953, 0.009, 95421, 0.18, 176098.0, 0.333, -19324, -0.037, 88159.8, 0.167
'MUSCLE_diversified_replicate.abc.89.afa', 32428.0, 0.062, 31051, 0.059, 5023, 0.01, 94963, 0.181, 175891.0, 0.335, -19652, -0.037, 87016.4, 0.166
